,company_name,location,classification,revenue
188,,"CROSSVILLE, TN",Single Organization Support,
189,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement",
190,,"FRANKLIN, TN","Adult, Continuing Education","$85,277"
191,,"ALAMO, TN","Scholarships, Student Financial Aid Services, Awards","$265,981"
192,,"COLLIERVILLE, TN","Primary, Elementary Schools",
193,,"MARYVILLE, TN",Educational Services and Schools - Other,
194,,"HUMBOLDT, TN",Education N.E.C.,
195,,"BARTLETT, TN",Fund Raising and/or Fund Distribution,
196,,"NASHVILLE, TN",Parent/Teacher Group,
197,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
198,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12 (B29)","$6,222,430"
199,,"CHATTANOOGA, TN",Single Organization Support,"$1,112,258"
200,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$9,291,458"
201,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
202,,"JACKSON, TN",Educational Services and Schools - Other,"$65,009"
203,,"SPRINGFIELD, TN","Student Services, Organizations of Students",
204,,"COLUMBIA, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$215,363"
205,,"GREENBRIER, TN",Educational Services and Schools - Other,
206,,"CHRISTIANA, TN",Parent/Teacher Group,
207,,"STRAW PLAINS, TN",Single Organization Support,
208,,"TULLAHOMA, TN","Scholarships, Student Financial Aid Services, Awards",
209,,"CLARKSVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$6,391,160"
210,,"CLARKSVILLE, TN","Elementary, Secondary Education, K - 12","$4,071,255"
211,,"CHATTANOOGA, TN",Educational Services and Schools - Other,"$218,389"
212,,"COLUMBIA, TN",Educational Services and Schools - Other,
213,,"MT PLEASANT, TN",Fund Raising and/or Fund Distribution,
214,,"CLINTON, TN",Single Organization Support,"$74,777"
215,,"NEWPORT, TN",Education N.E.C.,"$62,687"
216,,"MANCHESTER, TN",Single Organization Support,
217,,"TELLICO PLNS, TN",Parent/Teacher Group,
218,,"ERWIN, TN",Libraries,
219,,"COOKEVILLE, TN",Fund Raising and/or Fund Distribution,
220,,"KNOXVILLE, TN","Professional Societies, Associations",
221,,"KNOXVILLE, TN","Professional Societies, Associations",
222,,"KNOXVILLE, TN","Professional Societies, Associations",
223,,"MEMPHIS, TN",Educational Services and Schools - Other,"$460,536"
224,,"COLLIERVILLE, TN",Education N.E.C.,"$215,299"
225,,"COLLIERVILLE, TN",Single Organization Support,"$385,507"
226,,"COLLIERVILLE, TN",Single Organization Support,"$172,505"
227,,"COLUMBIA, TN","Student Services, Organizations of Students","$79,743"
228,,"SHELBYVILLE, TN",Alumni Associations,
229,,"FRANKLIN, TN",Single Organization Support,
230,,"FRANKLIN, TN",Alliance/Advocacy Organizations,"$2,924,304"
231,,"NASHVILLE, TN","Professional Societies, Associations","$802,845"
232,,"KNOXVILLE, TN",Nonmonetary Support N.E.C.,"$717,871"
233,,"CHURCH HILL, TN",Educational Services and Schools - Other,
234,,"ALGOOD, TN",Single Organization Support,
235,,"COOKEVILLE, TN",Single Organization Support,
236,,"CORDOVA, TN",Single Organization Support,
237,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
238,,"NASHVILLE, TN",Alumni Associations,"$13,158"
239,,"WHITE BLUFF, TN","Scholarships, Student Financial Aid Services, Awards",
240,,"GREENEVILLE, TN","Professional Societies, Associations",
241,,"BRENTWOOD, TN",Educational Services and Schools - Other,"$193,705"
242,,"SMYRNA, TN",Educational Services and Schools - Other,
243,,"MEMPHIS, TN","Adult, Continuing Education",
244,,"ALAMO, TN",Libraries,
245,,"CROSSVILLE, TN","Adult, Continuing Education",
246,,"CROSSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
247,,"POWELL, TN","Vocational, Technical Schools","$14,832"
248,,"CROSSVILLE, TN",Libraries,
249,,"BRENTWOOD, TN",Specialized Education Institutions,"$19,770,454"
250,,"FRANKLIN, TN","Scholarships, Student Financial Aid Services, Awards",
251,,"MEMPHIS, TN",Nonmonetary Support N.E.C.,"$91,030"
252,,"CORDOVA, TN",Single Organization Support,"$9,000"
253,,"COOKEVILLE, TN",Educational Services and Schools - Other,"$214,416"
254,,"GRAY, TN",Single Organization Support,
255,,"MEMPHIS, TN","Graduate, Professional Schools (Separate Entities)",
256,,"LA VERGNE, TN",Education N.E.C.,
257,,"JACKSON, TN","Scholarships, Student Financial Aid Services, Awards",
258,,"MOUNT JULIET, TN",Fund Raising and/or Fund Distribution,
259,,"GERMANTOWN, TN","Adult, Continuing Education",
260,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$204,746"
261,,"NASHVILLE, TN",Education N.E.C.,
262,,"KINGSPORT, TN",Alumni Associations,"$15,302"
263,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
264,,"CORDOVA, TN",Fund Raising and/or Fund Distribution,
265,,"OAK RIDGE, TN","Scholarships, Student Financial Aid Services, Awards",
266,,"WHITES CREEK, TN","Elementary, Secondary Education, K - 12 (B29)",
267,,"MEMPHIS, TN","Primary, Elementary Schools",
268,,"OLD HICKORY, TN",Single Organization Support,
269,,"CLEVELAND, TN",Education N.E.C.,
270,,"DYERSBURG, TN",Fund Raising and/or Fund Distribution,
271,,"CLARKSVILLE, TN",Education N.E.C.,
272,,"CLARKSVILLE, TN",Education N.E.C.,
273,,"MURFREESBORO, TN",Education N.E.C.,
274,,"CLARKSVILLE, TN",Parent/Teacher Group,
275,,"ANTIOCH, TN",Parent/Teacher Group,
276,,"CLARKSVILLE, TN",Fund Raising and/or Fund Distribution,
277,,"NASHVILLE, TN",Educational Services and Schools - Other,"$393,778"
278,,"NASHVILLE, TN",Parent/Teacher Group,
279,,"MEMPHIS, TN",Parent/Teacher Group,
280,,"NASHVILLE, TN",Alumni Associations,"$40,655"
281,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
282,,"CLINTON, TN","Scholarships, Student Financial Aid Services, Awards","$54,464"
283,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards","$2,510,915"
284,,"NASHVILLE, TN",Single Organization Support,"$78,687"
285,,"KNOXVILLE, TN","Vocational, Technical Schools","$800,194"
286,,"MEMPHIS, TN",Education N.E.C.,
287,,"GOODLETTSVLLE, TN","Scholarships, Student Financial Aid Services, Awards",
288,,"BARTLETT, TN",Parent/Teacher Group,
289,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$13,448"
290,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$1,797,877"
291,,"MURFREESBORO, TN",Parent/Teacher Group,
292,,"PARIS, TN",Educational Services and Schools - Other,
293,,"HERMITAGE, TN","Vocational, Technical Schools",
294,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
295,,"GERMANTOWN, TN",Parent/Teacher Group,"$39,128"
296,,"KNOXVILLE, TN",Single Organization Support,
297,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
298,,"BRENTWOOD, TN",Educational Services and Schools - Other,"$103,027"
299,,"MEMPHIS, TN",Education N.E.C.,"$45,078"
300,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
301,,"CHAPEL HILL, TN",Alumni Associations,
302,,"KNOXVILLE, TN",Parent/Teacher Group,
303,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
304,,"BIG SANDY, TN",Single Organization Support,
305,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards",
306,,"FRANKLIN, TN",Educational Services and Schools - Other,"$445,450"
307,,"FARRAGUT, TN",Parent/Teacher Group,"$129,765"
308,,"FRANKLIN, TN",Alliance/Advocacy Organizations,
309,,"NASHVILLE, TN","Primary, Elementary Schools","$31,732,934"
310,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$16,948,516"
311,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12",
312,,"CHATTANOOGA, TN",Nonmonetary Support N.E.C.,"$1,097,526"
313,,"LIMESTONE, TN",Single Organization Support,
314,,"KODAK, TN",Libraries,
315,,"KNOXVILLE, TN","Remedial Reading, Reading Encouragement","$263,825"
316,,"WOODBURY, TN",Libraries (B71I),
317,,"COLLEGE GROVE, TN",Single Organization Support,
318,,"FAIRVIEW, TN",Single Organization Support,
319,,"LAWRENCEBURG, TN",Single Organization Support,
320,,"HOHENWALD, TN",Libraries,
321,,"SHELBYVILLE, TN","Remedial Reading, Reading Encouragement",
322,,"MADISONVILLE, TN",Libraries,
323,,"TELLICO PLNS, TN",Single Organization Support,
324,,"WESTMORELAND, TN",Libraries,
325,,"KNOXVILLE, TN",Educational Services and Schools - Other,
326,,"MURFREESBORO, TN",Educational Services and Schools - Other,
327,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
328,,"GAINESBORO, TN",Parent/Teacher Group,
329,,"GALLATIN, TN","Scholarships, Student Financial Aid Services, Awards","$81,425"
330,,"MEMPHIS, TN","Student Sororities, Fraternities","$6,246"
331,,"HENDERSONVLLE, TN","Elementary, Secondary Education, K - 12 (B29)","$2,213,115"
332,,"GERMANTOWN, TN",Parent/Teacher Group,
333,,"MEMPHIS, TN",Single Organization Support,"$14,500"
334,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
335,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$1,230,169"
336,,"CLARKSVILLE, TN",Educational Services and Schools - Other,
337,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
338,,"KINGSTON SPGS, TN","Scholarships, Student Financial Aid Services, Awards","$8,179,428"
339,,"PORTLAND, TN",Education N.E.C.,
340,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
341,,"FRANKLIN, TN",Educational Services and Schools - Other,"$11,821,156"
342,,"RUTLEDGE, TN","Remedial Reading, Reading Encouragement",
343,,"MEMPHIS, TN","Primary, Elementary Schools",
344,,"KNOXVILLE, TN",Educational Services and Schools - Other,
345,,"HARRIMAN, TN","Adult, Continuing Education",
346,,"HERMITAGE, TN",Education N.E.C.,
347,,"KNOXVILLE, TN",Parent/Teacher Group,
348,,"CHATTANOOGA, TN",Unknown (B00C),"$667,511"
349,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12",
350,,"KNOXVILLE, TN",Educational Services and Schools - Other,
351,,"HAMPSHIRE, TN",Parent/Teacher Group,
352,,"KNOXVILLE, TN",Single Organization Support,"$410,121"
353,,"KINGSTON SPGS, TN",Single Organization Support,
354,,"ROGERSVILLE, TN",Educational Services and Schools - Other,
355,,"CLARKSVILLE, TN",Single Organization Support,"$80,599"
356,,"CLARKSVILLE, TN",Single Organization Support,
357,,"NASHVILLE, TN","Graduate, Professional Schools (Separate Entities) (B54C)","$282,930"
358,,"GALLATIN, TN",Educational Services and Schools - Other,
359,,"HENDERSONVLLE, TN",Single Organization Support,"$109,665"
360,,"PARIS, TN","Adult, Continuing Education",
361,,"BIG SANDY, TN","Remedial Reading, Reading Encouragement",
362,,"THOMPSONS STN, TN",Parent/Teacher Group,"$24,910"
363,,"CENTERVILLE, TN",Single Organization Support,
364,,"LENOIR CITY, TN",Alumni Associations,
365,,"JOHNSON CITY, TN",Educational Services and Schools - Other,"$120,775"
366,,"TROY, TN",Single Organization Support,
367,,"NASHVILLE, TN",Single Organization Support,
368,,"NASHVILLE, TN",Single Organization Support,"$31,215"
369,,"NASHVILLE, TN",Education N.E.C.,
370,,"CHATTANOOGA, TN","Remedial Reading, Reading Encouragement",
371,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12",
372,,"CLARKSVILLE, TN","Student Sororities, Fraternities",
373,,"MURFREESBORO, TN","Student Sororities, Fraternities",
374,,"GERMANTOWN, TN",Parent/Teacher Group,
375,,"GERMANTOWN, TN",Single Organization Support,
376,,"BARTLETT, TN","Remedial Reading, Reading Encouragement",
377,,"GALLATIN, TN",Parent/Teacher Group,
378,,"LAKELAND, TN",Education N.E.C.,
379,,"HUMBOLDT, TN","Student Services, Organizations of Students",
380,,"HUNTLAND, TN",Single Organization Support,
381,,"JACKSON, TN",Alumni Associations,
382,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$3,475"
383,,"LEBANON, TN",Education N.E.C.,
384,,"GOODLETTSVILLE, TN",Educational Services and Schools - Other,
385,,"HENDERSONVLLE, TN",Parent/Teacher Group,"$126,830"
386,,"MOUNT JULIET, TN","Adult, Continuing Education",
387,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
388,,"JEFFERSON CTY, TN",Educational Services and Schools - Other,
389,,"NASHVILLE, TN","Adult, Continuing Education",
390,,"NASHVILLE, TN","Adult, Continuing Education","$786,223"
391,,"ANTIOCH, TN","Elementary, Secondary Education, K - 12 (B29)","$15,003,846"
392,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)",
393,,"PULASKI, TN",Educational Services and Schools - Other,
394,,"CORDOVA, TN",Specialized Education Institutions,
395,,"MCMINNVILLE, TN","Adult, Continuing Education","$29,444,562"
396,,"CLEVELAND, TN",Education N.E.C.,"$816,589"
397,,"SODDY DAISY, TN","Elementary, Secondary Education, K - 12","$305,304"
398,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards",
399,,"PULASKI, TN","Scholarships, Student Financial Aid Services, Awards",
400,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
401,,"TURTLETOWN, TN",Fund Raising and/or Fund Distribution,
402,,"NASHVILLE, TN",Community or Junior Colleges,"$2,115,148"
403,,"KINGSPORT, TN",Parent/Teacher Group,"$62,852"
404,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
405,,"NASHVILLE, TN",Parent/Teacher Group,"$145,509"
406,,"GERMANTOWN, TN","Elementary, Secondary Education, K - 12 (B29)",
407,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$5,333,292"
408,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
409,,"KNOXVILLE, TN",Alumni Associations,
410,,"KNOXVILLE, TN",Single Organization Support,
411,,"KENTON, TN",Single Organization Support,
412,,"CLARKSVILLE, TN",Parent/Teacher Group,
413,,"JOHNSON CITY, TN","Scholarships, Student Financial Aid Services, Awards",
414,,"CROSSVILLE, TN",Educational Services and Schools - Other,
415,,"ELIZABETHTON, TN","Remedial Reading, Reading Encouragement",
416,,"KNOXVILLE, TN",Educational Services and Schools - Other,"$462,833"
417,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)","$59,890,490"
418,,"KNOXVILLE, TN",Education N.E.C.,"$5,045"
419,,"KNOXVILLE, TN",Education N.E.C.,"$1,390,372"
420,,"MEMPHIS, TN","Professional Societies, Associations",
421,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12",
422,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12",
423,,"MORRISTOWN, TN",Single Organization Support,
424,,"LAKELAND, TN",Parent/Teacher Group,
425,,"LAKELAND, TN",Single Organization Support,
426,,"MEMPHIS, TN","Vocational, Technical Schools","$69,540"
427,,"JACKSON, TN",Undergraduate College (4-year),"$34,131,294"
428,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
429,,"LASCASSAS, TN",Parent/Teacher Group,"$44,082"
430,,"MEMPHIS, TN",Single Organization Support,
431,,"LAWRENCEBURG, TN","Elementary, Secondary Education, K - 12","$583,745"
432,,"CLEVELAND, TN",Education N.E.C.,"$213,286"
433,,"NEWPORT, TN","Adult, Continuing Education",
434,,"OAK RIDGE, TN","Student Services, Organizations of Students","$40,228"
435,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$4,906,664"
436,,"SEVIERVILLE, TN",Education N.E.C.,"$352,003"
437,,"POWELL, TN","Scholarships, Student Financial Aid Services, Awards","$232,409"
438,,"MEMPHIS, TN","Student Services, Organizations of Students",
439,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards","$35,032"
440,,"LENOIR CITY, TN",Single Organization Support,
441,,"GALLATIN, TN",Parent/Teacher Group,"$9,200"
442,,"ARLINGTON, TN",Libraries,
443,,"WHITE HOUSE, TN","Elementary, Secondary Education, K - 12","$1,949,841"
