name,address,city,zipcode,classification_codes,tax_period,asset_amount,income_amount,revenue_amount,ntee_code
BUFFALO SOLDIERS MOTORCYCYLE CLUB OF MEMPHIS TENNESSEE,1261 LAMAR AVE,MEMPHIS,38104-4525,2000,12/1/22,0,0,0,B82
BUILD A LEGACY INC,PO BOX 25021,MEMPHIS,38125-8001,1200,12/1/21,52025,0,0,B92
BUILDINGXPERIENCE INSTITUTE,401 OLD PLEASANT GROVE RD APT 718,MOUNT JULIET,37122-7312,2000,,,,,B90
BULGARIAN CULTURAL CLUB - NASHVILLE,411 DAHLIA DR,BRENTWOOD,37027-5420,2000,12/1/20,0,0,0,B90
CALHOUN ALUMNI ASSOCIATION,PO BOX 129,CALHOUN,37309-0129,1200,12/1/22,162724,3579,3579,B82
CARMEN A COX SCHOLARSHIP FUND,PO BOX 1420,GREENEVILLE,37744-1420,1000,6/1/22,280083,561,561,B82Z
CARSON-NEWMAN UNIVERSITY,1646 RUSSELL AVE,JEFFERSON CTY,37760-2204,2700,7/1/21,160428637,65286029,65286029,B420
CARTER HIGH SCHOOL BAND BOOSTERS,PO BOX 367,STRAW PLAINS,37871-0367,1200,5/1/23,13925,46172,46172,B11
CATHOLIC MEMPHIS URBAN SCHOOLS INC,5825 SHELBY OAKS DR,MEMPHIS,38134-7316,1000,6/1/20,298433,16381,16381,B90
CEDAR BLUFF KIDS INC,9200 BRIARWOOD BLVD,KNOXVILLE,37923-2113,1000,,,,,B90
CEDAR GROVE ELEMENTARY PTO,354 CHANEY RD,SMYRNA,37167-2669,1000,6/1/22,43188,69677,37768,B90
CEDARS OF LEBANON ACADEMY,366 COVE CREEK RD,MCMINNVILLE,37110-8002,7200,,,,,B20
CENTER FOR HOME SCHOOL ENRICHMENTAND TUTORIAL,PO BOX 419,MADISON,37116-0419,2000,6/1/20,68578,293173,293173,B99
CENTER FOR LEARNING AND ACADEMIC SUPPORT SERVICES INC,2799 BROAD AVE,MEMPHIS,38112-2826,2000,7/1/21,0,0,0,B80
CENTER FOR LIFELONG LEARNING,2569 COOK RD,CROSSVILLE,38571-3208,1200,12/1/22,0,0,0,B11
CENTER OF DESTINY INCORPORATED,7027 MILLERS GLEN WAY,MEMPHIS,38125-4184,2000,12/1/20,0,0,0,B92
CENTER ON BUSINESS AND POVERTY INC,2118 SOUTHERN PRESERVE LN,FRANKLIN,37064-1647,1200,12/1/22,27315,85277,85277,B60
CENTRAL HIGH SCHOOL ALUMNI & ASSOCIATES OF ALAMO TN,PO BOX 44,ALAMO,38001-0044,1000,12/1/22,250353,266705,265981,B82
CENTRAL MINISTRIES INC,2005 E WINCHESTER BLVD,COLLIERVILLE,38017-3388,1700,,,,,B24Z
CHALLENGEPOINT INC,PO BOX 5255,MARYVILLE,37802-5255,1000,12/1/19,0,0,0,B90
CHARITY SOLUTIONS AND COMMUNITY MATTERS INC,2890 FERRELL ST,HUMBOLDT,38343-2053,1000,,,,,B99
CHARLIESANGELS INC,PO BOX 342828,BARTLETT,38184-2828,1000,12/1/22,0,0,0,B12
CHARLOTTE PARK ELEMENTARY PARENT-TEACHER ORGANIZATION,480 ANNEX AVE,NASHVILLE,37209-2728,2000,,,,,B94
CHATTACADEMY COMMUNITY SCHOOLS INC,2100 ROSSVILLE AVE APT 332,CHATTANOOGA,37408-2167,2000,,,,,B90
CHATTANOOGA CHARTER SCHOOL OF EXCELLENCE,5600 BRAINERD ROAD A 24,CHATTANOOGA,37411-5354,2000,6/1/22,6102995,6222430,6222430,B29
CHATTANOOGA STATE COMMUNITY COLLEGE FOUNDATION,4501 AMNICOLA HWY,CHATTANOOGA,37406-1097,1200,6/1/22,9690248,1211937,1112258,B114
CHATTANOOGA-HAMILTON COUNTY PUBLIC EDUCATION FUND,835 GEORGIA AVE STE 400,CHATTANOOGA,37402-2232,1000,6/1/22,18265172,10992647,9291458,B20I
CHATTANOOGAS COAST-TO-COAST COLLEGE FAIR,PO BOX 4221,CHATTANOOGA,37405-0221,3000,6/1/22,0,0,0,B90
CHILDREN LEARNING THROUGH OUTDOOR EXPERIENCE,47 W ORLEANS ST,JACKSON,38301-7929,2000,12/1/21,22110,65009,65009,B90
CHO-ZEN,PO BOX 631,SPRINGFIELD,37172-0631,1200,12/1/22,0,0,0,B80
CHRIST OUR SAVIOR ACADEMY INC,2494 NASHVILLE HWY,COLUMBIA,38401-7236,2000,6/1/22,74680,215363,215363,B21
CHRISTIAN HOME EDUCATION SUPPORT SYSTEM,3190 DISTILLERY RD,GREENBRIER,37073-4757,1270,5/1/22,0,0,0,B90
CHRISTIANA ELEMENTARY SCHOOL PTO,4701 SHELBYVILLE PIKE,CHRISTIANA,37037-5368,2000,,,,,B94
CHS CORAL BOOSTER CLUB,210 N CARTER SCHOOL RD,STRAW PLAINS,37871-1237,1200,5/1/22,0,0,0,B11
CLARK AND ROBBIE RAINES SCHOLARSHIPFOUNDATION,103 HICKORY HILLS RD,TULLAHOMA,37388-5316,1000,12/1/22,311490,25642,,B82
CLARKSVILLE ACADEMY,710 N 2ND ST,CLARKSVILLE,37040-2908,2000,7/1/21,6723954,6391160,6391160,B21Z
CLARKSVILLE CHRISTIAN SCHOOL INC,505 HIGHWAY 76,CLARKSVILLE,37043-5392,2000,6/1/22,5286207,4134042,4071255,B20
CLASSICAL BEGINNINGS INC,PO BOX 2362,CHATTANOOGA,37409-0362,2100,6/1/22,50799,218389,218389,B90
CLASSICAL COMMUNITY OF SPRING HILL,4076 OLD SOWELL MILL PIKE,COLUMBIA,38401-7829,1270,6/1/20,0,0,0,B90
CLASSICS FOR A CAUSE,1019 MASSEY RD,MT PLEASANT,38474-2918,2100,12/1/20,0,0,0,B129
CLINTON BAND FOUNDATION INC,425 DRAGON DR,CLINTON,37716-2722,2000,6/1/22,16189,74777,74777,B11
COCKE COUNTY EDUCATION FOUNDATION,305 HEDRICK DR,NEWPORT,37821-2908,1000,12/1/22,981502,62687,62687,B99
COFFEE COUNTY PROJECT GRADUATION,PO BOX 541,MANCHESTER,37349-0541,1000,12/1/21,0,0,0,B11
COKER CREEK SCHOOL PARENT-TEACHER ORGANIZATION,130 RURITAN RD,TELLICO PLNS,37385-6075,2000,7/1/22,0,0,0,B94
COL J F TONEY MEMORIAL LIBRARY,201 NOLICHUCKY AVE,ERWIN,37650-1239,7000,12/1/22,0,0,0,B70
COLLEGE ADVISORY PARTNERSHIP,1104 ENGLAND DR,COOKEVILLE,38501-0924,1200,6/1/22,0,0,0,B12
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN SERVICES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE INITIATIVE,80 MONROE AVE STE 610,MEMPHIS,38103-2485,1000,9/1/18,197522,460536,460536,B90
COLLIERVILLE EDUCATION FOUNDATION INC,145 W POPLAR AVE,COLLIERVILLE,38017-2646,2000,6/1/22,211218,302853,215299,B99
COLLIERVILLE HIGH POM INC,11605 E SHELBY DR,COLLIERVILLE,38017-9511,1000,6/1/22,49283,415545,385507,B11
COLLIERVILLE PARTNERS IN EDUCATION,1143 HALLE PARK CIR,COLLIERVILLE,38017-7083,1200,12/1/22,1565527,172505,172505,B11
COLUMBIA SOCCER ASSOCIATION INC,1116 W 7TH ST PMB 248,COLUMBIA,38401-1811,1000,7/1/18,48185,79743,79743,B80
COMMUNITY SCHOOL ALUMNI ASSOCIATION,985 LONGVIEW RD,SHELBYVILLE,37160-5646,1000,12/1/22,0,0,0,B84
COMMUNITY SCHOOL OF HAITI,9,FRANKLIN,37064-0000,1200,,,,,B11
COMPETENCY-BASED EDUCATION NETWORK INC,1417 HANSON DR,FRANKLIN,37067-8668,2000,6/1/22,1286812,2924304,2924304,B01
COMPLETE TENNESSEE,511 UNION ST STE 725,NASHVILLE,37219-1733,2000,12/1/18,1050041,802845,802845,B03
CONCENSIO COLLECTIVE INC,9919 KINGSTON PIKE,KNOXVILLE,37922-6923,2000,12/1/20,252462,717871,717871,B19
CONTINENTAL CHRISTIAN CENTER,210 DEERFIELD CIR,CHURCH HILL,37642-3417,7000,,,,,B90
COOKEVILLE CAVALIER GOLF ALUMNI INCORPORATED,126 SECOND AVENUE SOUTH,ALGOOD,38506-5399,1000,12/1/16,0,0,0,B11
COOKEVILLE HIGH SCHOOL SOCCER BOOSTER CLUB,1 CAVALIER DR,COOKEVILLE,38501-4988,1000,12/1/21,0,0,0,B11
CORDOVA HIGH SCHOOL BAND BOOSTERS INC,PO BOX 3351,CORDOVA,38088-3351,2000,,,,,B11
CORDOVA KIWANIS FOUNDATION INC,8501 MACON ROAD APT 100,CORDOVA,38018-6101,1000,9/1/17,0,0,0,B82
CORINNE L COHN HIGH SCHOOL ALUMNI ASSOCIATION,4805 PARK AVE,NASHVILLE,37209-3436,1200,12/1/22,41439,13158,13158,B84
COYOTES AGAINST BULLYING,206 HILL DR,WHITE BLUFF,37187-4743,2000,,,,,B82
CPESN TENNESSEE,1000 MONARCH PT,GREENEVILLE,37745-4656,1000,3/1/19,1,0,0,B03
CREATE INC,1205 ARROWHEAD DR,BRENTWOOD,37027-7424,1000,12/1/22,208247,193705,193705,B90
CREATIVE COMMUNITY INC,1334 HAZELWOOD DR,SMYRNA,37167-3958,2100,12/1/21,0,0,0,B90
CREDO INSTITUTE INC,266 S FRONT ST STE 204,MEMPHIS,38103-3800,7000,,,,,B60
CROCKETT COUNTY IMAGINATION LIBRARY,151 S BELLS ST,ALAMO,38001-0000,1200,12/1/22,0,0,0,B70
CROSSVILLE PUBLIC HOUSING RESIDENT ASSOCIATION,PO BOX 425,CROSSVILLE,38557-0425,1200,12/1/22,0,0,0,B60
CROSSVILLE ROTARY CLUB FOUNDATION INC,PO BOX 2808,CROSSVILLE,38557-2808,1200,6/1/22,0,0,0,B82
CROWN SCHOOL OF TRADES & TECHNOLOGY,2307 W BEAVER CREEK DR,POWELL,37849-4800,2000,12/1/20,13000,14832,14832,B30
CUMBERLAND COUNTY IMAGINATION LIBRARY,3 EAST ST,CROSSVILLE,38555-4557,2000,12/1/22,0,0,0,B70
CURREY INGRAM ACADEMY,6544 MURRAY LN,BRENTWOOD,37027-5515,2000,6/1/22,64472369,45459212,19770454,B28Z
CURTIS AND CHARLENE SHORT FOUNDATION INC,225 PROSPECT AVE,FRANKLIN,37064-8610,1000,12/1/20,0,0,0,B82
CUTTINGTON UNIVERSITY ALUMNI ASSOCIATION IN THE AMERICAS INC,PO BOX 34513,MEMPHIS,38184-0513,1000,7/1/22,202145,91030,91030,B19
DANGEROUS GOODS TRAINERS ASSOCIATION INC,1138 N GERMANTOWN PKWY STE 101,CORDOVA,38016-5872,1000,12/1/17,8999,9000,9000,B11
DANIEL 1 ACADEMY INC,PO BOX 3233,COOKEVILLE,38502-3233,1000,6/1/21,54968,214416,214416,B90
DANIEL BOONE BLAZER BAND,1440 SUNCREST DR,GRAY,37615-4118,1000,12/1/22,0,0,0,B11
DAUGHTERS OF ZION,4400 HICKORY HILL RD,MEMPHIS,38141-6818,2700,,,,,B50
DEFINE U MENTORING FOUNDATION INC,6030 SAGI CIR,LA VERGNE,37086-2778,1200,12/1/22,0,0,0,B99
DELTA ENRICHMENT LIFE TRAINING ACADEMY,96 ONEAL ST,JACKSON,38301-4574,2000,12/1/22,0,0,0,B82
DELTA NU ALPHA TRANSPORTATION FRATERNITY VOLUNTEER CHAPTER 135,2534 N MOUNT JULIET RD,MOUNT JULIET,37122-3007,1200,12/1/22,0,0,0,B12
DENTAL CERTIFICATE TRAINING,1920 KIRBY PKWY STE 200,GERMANTOWN,38138-3697,1200,12/1/22,0,0,0,B60
DISCOVERY LEARNERS ACADEMY,4315 BRAINERD ROAD,CHATTANOOGA,37411-5434,1200,12/1/22,62421,204746,204746,B20
DIVERSITY CONSORTIUM,1803 BROADWAY APT 127,NASHVILLE,37203-2758,2000,,,,,B99
DOBYNS-BENNETT HIGH SCHOOL ALUMNI ASSOCIATION,PO BOX 3337,KINGSPORT,37664-0337,1000,12/1/22,8017,27249,15302,B84
DON & ROY SPLAWN CHARITABLE FOUNDATION EAST INC,1163 GATEWAY LN,NASHVILLE,37220-1007,2100,12/1/21,2518251,513321,,B82Z
DOUGLASS AABC BOOSTER CLUB,2805 HIDDEN FALLS CV,CORDOVA,38016-6708,1200,,,,,B12
DREAMS OF OAK RIDGE STUDENTS,148 BUS TERMINAL RD,OAK RIDGE,37830-6931,1000,,,,,B82
DREXEL PREPARATORY ACADEMY,4481 JACKSON RD,WHITES CREEK,37189-9201,1000,,,,,B29
DUBOIS ELEMENTARY SCHOOL OF ENTREPRENEURSHIP,868 BARTON ST,MEMPHIS,38106-1727,2000,,,,,B24
DUPONT HADLEY MIDDLE PREP PTO,1901 OLD HICKORY BLVD,OLD HICKORY,37138-2818,2100,5/1/19,0,0,0,B112
DUSTIN LEDFORD SCHOLARSHIP FOUNDATION,4484 FRONTAGE RD NW,CLEVELAND,37312-2903,1000,12/1/20,0,0,0,B99
DYER COUNTY ACADEMIC FOUNDATION INC,159 EVERETT AVE,DYERSBURG,38024-5119,1200,12/1/22,0,0,0,B12
EAA CHAPTER 1605,1576 CHURCHILL CT,CLARKSVILLE,37042-1514,1260,,,,,B99
EAA CHAPTER 1605 CLARKSVILLE,1567 CHURCHILL CT,CLARKSVILLE,37042-1514,1000,,,,,B99
EAA CHAPTER 419 MUFREESBORO AERO SPORTS,1930 MEMORIAL BLVD,MURFREESBORO,37129-1502,2000,3/1/22,0,0,0,B99
EAGLE PRIDE BAND BOOSTERS,3701 TRENTON RD,CLARKSVILLE,37040-5611,1000,5/1/22,0,0,0,B94
EAGLE VIEW ELEMENTARY PTO,1470 EAGLE VIEW BLVD,ANTIOCH,37013-2284,1238,6/1/22,0,0,0,B94
EAGLES SOFTBALL BOOSTER CLUB,3701 TRENTON RD,CLARKSVILLE,37040-5611,2000,6/1/21,0,0,0,B12
EAKIN CARE PROGRAM INC,PO BOX 120097,NASHVILLE,37212-0097,1000,5/1/22,321826,393778,393778,B900
EAST END PREP PTO,1460 MCGAVOCK PIKE,NASHVILLE,37216-3225,2000,,,,,B94
EAST HIGH SCHOOL PTO,3206 POPLAR AVE,MEMPHIS,38111-3502,2000,,,,,B94
EAST NASHVILLE HIGH ALUMNI ASSOCIATION INC,PO BOX 218043,NASHVILLE,37221-8043,1000,12/1/22,173921,40655,40655,B84
EDUCATE TENNESSEE,1024 GENERAL GEORGE PATTON RD,NASHVILLE,37221-2591,2000,12/1/21,0,0,0,B01
EDUCATION FOUNDATION FOR CLINTON CITY & ANDERSON COUNTY SCHOOLS INC,212 N HICKS ST,CLINTON,37716-2920,1000,12/1/22,141398,87375,54464,B82
EDUCATIONAL & MEMORIAL FOUNDATION OF THE TENNESSEE SOCIETY OF CPAS,201 POWELL PL,BRENTWOOD,37027-7522,2000,3/1/22,3651465,3084742,2510915,B82Z
EDUCATORS COOPERATIVE,1410 HEMLOCK AVE,NASHVILLE,37216-2914,2000,12/1/21,229250,78687,78687,B11
ELECTRICIAN TRAINING ACADEMY AT KNOXVILLE,6107 CENTRAL AVENUE PIKE,KNOXVILLE,37912-2002,2000,12/1/21,786789,800271,800194,B30
ELITE EARLY SCHOLARS,5879 HICKORY GREENE CV,MEMPHIS,38141-6897,2000,6/1/21,0,0,0,B99
ELLIS FAMILY FOUNDATION OF TENNESSEE,114 N WYNRIDGE WAY,GOODLETTSVLLE,37072-8831,1200,12/1/22,0,0,0,B82
ELMORE PARK MIDDLE SCHOOL PTO,6330 ALTHORNE RD,BARTLETT,38134-4610,1000,6/1/22,0,0,0,B94
ENGINEERS CLUB OF MEMPHIS,PO BOX 770002,MEMPHIS,38177-0002,1000,1/1/23,30969,13448,13448,B82
EQUAL CHANCE FOR EDUCATION,73 WHITE BRIDGE PIKE STE 103,NASHVILLE,37205-1444,2000,6/1/22,309155,1836573,1797877,B82
ERMA SIEGEL ELEMENTARY PARENT TEACHER ORGANIZATION,135 W THOMPSON LN,MURFREESBORO,37129-1223,2000,12/1/18,0,0,0,B94
ESNOGA BETHEL INC,102 BROKEN ARROW DR,PARIS,38242-5910,1000,12/1/22,0,0,0,B900
EXCEL DENTAL TRAINING INSTITUTE INC,5114 OLD HICKORY BLVD STE 200,HERMITAGE,37076-2590,2000,12/1/21,135484,0,0,B30
FAITH-BASED EDUCATION INITIATIVE INC,2960 KIMBALL AVE,MEMPHIS,38114-4061,1278,,,,,B01
FARMINGTON ELEMENTARY SCHOOL PTO,2085 CORDES RD,GERMANTOWN,38139-4451,2000,6/1/22,49128,42143,39128,B94
FARRAGUT HIGH SCHOOL DANCE TEAM BOOSTERS,816 WEATHERLY HILLS BLVD,KNOXVILLE,37934-1631,1200,6/1/22,0,0,0,B11
FIGHTING CHANCE WITH EKM,2561 BROAD AVE,MEMPHIS,38112-2613,2000,12/1/22,0,0,0,B01
FILTER FIRST FOUNDATION,8115 ISABELLA LN STE 1,BRENTWOOD,37027-9110,1000,12/1/22,83177,103027,103027,B90
FINANCIAL COUNSELORS OF AMERICA,PO BOX 111124,MEMPHIS,38111-1124,1000,12/1/16,32071,45078,45078,B99
FIRST CHAIRS CLUB INC,3040 OAKLEIGH TOWNSHIP DR,KNOXVILLE,37921-3784,1000,12/1/22,0,0,0,B82
FORREST HIGH ALUMNI ASSOCIATION,PO BOX 546,CHAPEL HILL,37034-0546,1000,,,,,B84
